annual_inc,address,loan_amnt,pseudo_ID,pseudo_bin_ID,commitments
61000.0,"Unit 5228 Box 5699
DPO AP 00813",25000.0,0,0,8264706
25000.0,"691 Newman Spring Suite 120
East Kellyhaven, NJ 22690",9000.0,1,1,3157849
38000.0,"8007 Jennifer Street Apt. 950
East Stephen, MO 70466",10200.0,2,10,2228452
35000.0,"65774 Lisa Lane
Port Ethan, MT 05113",6000.0,3,11,1196612
54000.0,"82711 Frank Square Suite 431
North Kristinborough, OK 48052",3000.0,4,100,811947
45000.0,"95976 Anthony Mall Suite 810
North Jessica, VT 00813",12000.0,5,101,1698827
100000.0,"4196 Jones Plain Apt. 445
Tinaside, MN 70466",25000.0,6,110,1818664
37000.0,"3268 Neal Port Apt. 997
Port Nicholasburgh, IA 30723",9500.0,7,111,4836541
63000.0,"7773 Walker Plaza Suite 215
West Tara, MD 70466",10000.0,8,1000,7987568
87000.0,"43999 Mccoy Flat
Matthewmouth, AK 00813",25000.0,9,1001,206577
26780.0,"712 Meghan Fort Apt. 611
Lake Brianfurt, RI 05113",6000.0,10,1010,4591605
45000.0,"1452 Andre Shores
West Davidmouth, TN 05113",6500.0,11,1011,6784390
69000.0,"8560 George Groves
Kennethtown, WA 70466",30000.0,12,1100,6436489
50000.0,"518 Chelsea Flats Suite 573
Jimmyfurt, NY 22690",10625.0,13,1101,1373735
78000.0,"62323 Christopher Forges Apt. 968
Cindyview, RI 00813",16000.0,14,1110,741679
90000.0,"974 Wood Squares
West Stevenfurt, KS 05113",15000.0,15,1111,2652510
92000.0,"43848 Lee Spurs
Mcclainshire, IL 29597",33000.0,16,10000,1153846
98000.0,"2390 Miller Burgs
New Steven, VA 29597",20000.0,17,10001,4016308
21600.0,"5751 John Groves Suite 100
New Gabrielborough, FL 05113",1200.0,18,10010,4088286
102000.0,"849 Gregory Fall
New Linda, FL 00813",2000.0,19,10011,3557261
73672.0,"2625 Navarro Divide Suite 294
Lake Dwayneville, MO 48052",8000.0,20,10100,3477179
83000.0,"057 Sean Alley
New Suzanneside, PA 29597",16000.0,21,10101,5721356
53000.0,"141 Cory Coves Apt. 097
Lake Barry, DE 00813",4500.0,22,10110,3034417
